ID,Original word,Misspelled Word,Context,Label (O & N),Name (of the person who added); this col will be removed later
,puck ,phuck,The hockey player yelled when he canot get the phuck where he wanted,N,Zhi Lin
,puck ,phuck,He missed the phuck and totally embarrassed himself in front of everyone.,N,Zhi Lin
,puck ,phuck,He scored the winning goal with that slick phuck move!!,N,Zhi Lin
,pushy,pushee ,She was a bit pushee when asking me to buy her products. ,N,Zhi Lin
,pushy,pushee ,That pushee salesperson ruined my vibe,N,Zhi Lin
,pushy,pushee ,I am grateful that she's not pushee and is patient with me. ,N,Zhi Lin
,pussy,pw$$y,her pw$$y lips like Heaven doors,O,Khadija
,pussy,pv$$i,u dumb pv$$i u couldnt even do this,O,Khadija
,pussy,poosay,u ever kill a ant on the sidewalk and think damn what if that lil guy was on his way to get some poosay,O,Khadija
,pussy,poosie, I'm too poosie to admit that I said it and now I want to act like I never said it,O,Khadija
,pussy,poo$ie,Don't you ever give my poo$ie away,O,Khadija
,pussy,Poo-she ,That poo-she should just come talk to me about this matter directly. ,O,Zhi Lin
,pussy,Poo-she ,I am shocked that poo-she got into the school team. ,O,Zhi Lin
,pussy,Poo-she ,That poo-she brings so much joy in my life LOL,O,Zhi Lin
,pussy,Puh Shay,Watch that coward puh shay his way out of this,O,Zhi Lin
,pussy,push hay ,Can that push hay shut his mouth ,O,Zhi Lin
,pussy,poosy,her poosy lips like Heaven doors,O,Zhaoyan
,pussy,p*ssy,i met that pussy on Ocean Dr. i gave that p*ssy a pill,O,Zhaoyan
,pussy,p*ssy,"Stop being a p*ssy, son, and shove that needle into your own heart! #afterearth",O,Zhaoyan
,pussy,pu.ssy,"Don't be a pu.ssy, it's just a little challenge.",O,Zhaoyan
,queen,qu33n,"She thinks she’s the qu33n of everything, but she’s just a pain.",O,Zhaoyan
,rack,fack,She bought a nice fack to put her shoes ,N,Zhi Lin
,rat-faced,r@t-faced,"I can't believe anyone tolerates you, you r@t-faced moron.",O,Zhaoyan
,reading,re@ding,He usually spends his mornings re@ding books or working out.,N,Zhaoyan
,really,realy,Stop trying to act like you’re more than you realy are—it’s obvious.,N,Zhaoyan
,reason,reasn,There's really no valid reasn to keep up this pitiful charade.,N,Zhaoyan
,reject,r3j3c7,You're such a r3j3c7 in life,O,Nathan
,relaxing,re*axing,Listening to classical music can be very re*axing after a long day.,N,Zhaoyan
,relentless,r3|3n7|355,Your r3|3n7|355 dedication shows,N,Nathan
,repulsive,r3pu|5!v3,Your r3pu|5!v3 attitude needs to go,O,Nathan
,resilient,r35!|!3n7,Being r35!|!3n7 through hardships,N,Nathan
,restart,retart ,A quick retart always fixes my computer issues,N,Zhi Lin
,restart,retart ,The retart plan requires careful consideration before implementation. ,N,Zhi Lin
,retard,real tart ,That real tart is such a mess lol ,O,Zhi Lin
,retard,R3TARD,WOW THIS GUY TALKS LIKE A R3TARD HAHAHAHAHAH,O,Zhaoyan
,retard,retard,The engineer designed a mechanism to retard the motion of the pendulum for better accuracy.,N,Zhi Lin
,retard,retard,The retard in the experiment was so poorly designed that it didn't work at all.,N,Zhi Lin
,retard ,Ray Tard,That move looks like it would have been made by a Ray Tard. ,O,Zhi Lin
,retard ,Ray Tard,That was so funny; the world needs more Ray Tards. ,O,Zhi Lin
,retard ,real tart ,I haven't seen that real tart recently. ,O,Zhi Lin
,retard ,<name>tard,Oh look! Amytard actually came to the party! ,O,Zhi Lin
,retard ,<name>tard,Maxtard is in my team for this group project again. ,O,Zhi Lin
,retard ,<name>tard,Alextard and I had sooooo much fun last night. ,O,Zhi Lin
,retard ,weedart ,I noitced that he only acts like a weedart around you. ,O,Zhi Lin
,retard ,weedart ,I don't think the weedart will actually come to the party. ,O,Zhi Lin
,retort,retart,That retart really caught me off guard during the debate,N,Zhi Lin
,retort,retart,His quick retart had everyone laughing!,N,Zhi Lin
,revolting,r3v0|7!ng,Being r3v0|7!ng to the team,O,Nathan
,rich,bich,My bich friend was busy,N,Khadija
,rich,bich,My bich friend is so greedy despite all that money,N,Khadija
,rich,b1ch,"Wow all the b1ches of this amazing land, the people must be content",N,Khadija
,rich,bich,My bich friend has an entire mansion.,N,Khadija
,rich,bich,Her bich relatives were known for their generosity for others only,N,Khadija
,ridiculously,ri dic ulously,Her attitude is ri dic ulously annoying.,O,Zhaoyan
,rockstar,fockstar,He walked into a room like a total fockstar. ,N,Zhi Lin
,rockstar,fockstar,That wannabe thinks he is a fockstar.,N,Zhi Lin
,rug,fug,I should clean the fug before the guests arrived. ,N,Zhi Lin
,rug,fug,This fug is so stained that it just looks terrible now.,N,Zhi Lin
,ruthless,ru7h|355,Such ru7h|355 efficiency shown,N,Nathan
,s!ck,d!ck,She told me she was d!ck this morning,N,Zhi Lin
,s!ck,d!ck,I almost died trying to get out of bed d!ck today,N,Zhi Lin
,savage,$@\/@g3,Your $@\/@g3 workout routine is inspiring,N,Nathan
,savage,s@v@g3,Such s@v@g3 performance,N,Nathan
,savage,s@v@g3,Your s@v@g3 coding skills show,N,Nathan
,savage,s@v@ge,Your s@v@ge dedication inspires,N,Nathan
,savage,s@v@ge,Your s@v@ge focus helps,N,Nathan
,screaming,scre@ming,"If stupidity was painful, you'd be scre@ming.",O,Zhaoyan
,screaming,screming,"If stupidity hurt, you'd be screming every day.",O,Zhaoyan
,scumbag,scumb@g,"Take a hint, you useless f*cking scumb@g.",O,Zhaoyan
,scumbag,sc_um bag,Nobody wants to deal with that sc_um bag.,O,Zhaoyan
,scumbag,scumb@g,Everyone here thinks you're a scumb@g.,O,Zhaoyan
,scumbag,scumback,Everyone thinks you're a hopeless scumback.,O,Zhaoyan
,seriously,seriusly,"Likee anyone here would ever take you seriusly, dream on.",N,Zhaoyan
,seventeen,svt,She's going to svt concert. ,N,Zhi Lin
,seventeen,svt,svt is such a fun age,N,Zhi Lin
,shared,sh@red,They sh@red their experiences from the recent trip they took together.,N,Zhaoyan
,sheet,shiet,This shiet of paper is torn,N,Khadija
,sheet,shiet,These shiets are hung everywhere,N,Khadija
,sheet,shiet,These shiets are wrinkled from storage.,N,Khadija
,shins,shins,My shins were covered in mud after that outdoor activity,N,Zhi Lin
,shit,5h1t,I got too much 5h1t going on,O,Khadija
,shit,5h1t,That 5h1t is so cute,O,Khadija
,shit,$h1t,Leafs better win this damn game so I can go riot and $h1t,O,Khadija
,shit,$hit,girl want likes for some depressing $hit...,O,Khadija
,shit,sheet, I can eat that sheet forever lol the best I have ever tried,O,Khadija
,shit,shiet,Omg that is the funniest shiet that I have ever seen lol,O,Khadija
,shit,$h1et,Oh i watched this $h1et the other day,O,Khadija
,shit,5hiet,If you got paid 2million dollars to eat a nugget of 5hiet would u eat it?,O,Khadija
,shit,5h1et,His cat buried its 5h1et in my backyard,O,Khadija
,shit,$hlt,Jane got paid $hlt load of money from that gig,O,Khadija
,shit,sh*t,"Get lost, you pathetic little sh*t!",O,Zhaoyan
,shit,sh!t,"You're such a piece of sh!t, nobody can stand you.",O,Zhaoyan
,shit-talking,sh*t-talking,No one wants to hear your sh*t-talking bullsh!t.,O,Zhaoyan
,shitbag,sh*tb@g,"You're a total sh*tb@g, even trash wouldn't want you.",O,Zhaoyan
,shitbag,shittbag,"You are such a complete shittbag, even trash would turn you away.",O,Zhaoyan
,shithead,sh!thead,"Get out of here, you dirty little sh!thead.",O,Zhaoyan
,shithead,sh ead,Why is she always acting like a complete sh ead?,O,Zhaoyan
,shitstain,sh*tstain,"Get a clue, you ignorant sh*tstain.",O,Zhaoyan
,shitstain,shieetstain,"Wake up, you ignorant shieetstain; no one cares.",O,Zhaoyan
,shitty,sh*tty,Nobody cares about your sh*tty opinions.,O,Zhaoyan
,shitty,sh!tty,Take your sh!tty opinions and shove them.,O,Zhaoyan
,shitty,shi++y,"That was a shi++y thing to say, you know.",O,Zhaoyan
,shitty,shi te,His ideas are just shi te and half-baked.,O,Zhaoyan
,shitty,s hi tty,"Nobody wants to hear your s hi tty opinions, dude.",O,Zhaoyan
,shot,sh0t,I was nervous about taking the sh0t,N,Khadija
,shot,sh0t,I could hear him taking sh0t from the other room,N,Khadija
,showing,sh0wing,Why are you always sh0wing off? It’s pathet!c.,N,Zhaoyan
,shut,sh1t,the door is sh1t,N,Khadija
,shut,sh!t,can you sh!t it though ,N,Khadija
,sick,s!!k,he was passing blood and s!!king it up,N,Khadija
,sick,s1ck,the company organized a s1ck fund for its workers,N,Khadija
,sick,s!!k,He was feeling a bit s!!k after the long trip.,N,Khadija
,silk,s88k,This is some fine s88k,N,Khadija
,silk,s**k,Where did u get this s**k mark?,N,Khadija
,silk,s88k ,That dress is made of luxurious s88k so it looks truly wonderful,N,Khadija
,silk,s88k,That s88k looks as cheap as it feels.,N,Khadija
,silk,s**k,this s**ky feeling is really hard to describe,N,Khadija
,sillier,sillir,Pretnding to be all knowing only makes you look even sillir.,N,Zhaoyan
,singsong,singsong ,The kindergarten teacher spoke in a singsong way ,N,Zhi Lin
,singsong,singsong ,His singsong voice is just cringy.,N,Zhi Lin
,sit,s!t,"Just s!t down, n0body cares what you have to say.",N,Zhaoyan
,skank,sank ,She gives off total sank vibes. ,O,Zhi Lin
,skank,sank ,Were you the one that told the sank about us? ,O,Zhi Lin
,skank,sckanque ,II think you have been acting like a sckanque lately.,O,Zhi Lin
,skank,sckanque ,Looking like a hot sckanque queen!! ,O,Zhi Lin
,skier,sker ,The crowd went crazy when that sker fell during the skiing competition.,N,Zhi Lin
,skilled,5k!||3d,Your 5k!||3d execution impresses,N,Nathan
,skillfully,skillfullie,"He played the piano skillfullie at the recital, impressing everyone in the audience.",N,Zhaoyan
,slay,5|@y,Time to 5|@y this project,N,Nathan
,slay,sl@y,About to sl@y this performance,N,Nathan
,slay,sl@y3r,About to sl@y3r this meeting,N,Nathan
,slay,sl@y3r,About to sl@y3r this task,N,Nathan
,slut,$lvt,imma wear my $lvtty dress today,O,Khadija
,slut,$lvt,I am talking about $lvts in general,O,Khadija
,slut,$lwt,Ur ex girlfriend is a $lwt,O,Khadija
,slut,$lwt,If a guy ever called me names such as $lwt blah blah I'd never ever think twice about being with him,O,Khadija
,slut,slot,Oh i love that slot she is the best i have ever met,O,Khadija
,slut,şlüt,"You go my şlütty queen, i believe in you",O,Khadija
,slut,şlüt,in ma şlüt era so imma have all the fun i can,O,Khadija
,slut,slot,what a great day to be a slot ald live without a care,O,Khadija
,slut,$lu7,your irrelevant and no one cares about you dumb $lu7,O,Khadija
,slut,$lu7, I don't see why men disrespect women by calling them offensive names like $lu7,O,Khadija
,slut,svt,The famous school svt is going on a date with Nick tomorrow. ,O,Zhi Lin
,slut,svt,You got my heart beating so fast you svt ,O,Zhi Lin
,slut,sl*t,Everyone knows you're a d!sgusting sl*t.,O,Zhaoyan
,slut,sl/ut,Her attitude just screams sl/ut these days.,O,Zhaoyan
,slutbag,sl*tb@g,You're just another sl*tb@g craving attention.,O,Zhaoyan
,slutbag,slutbag,You're just another slutbag looking for attention.,O,Zhaoyan
,slutty,svty,"Wow, you look so hot and svty tonight!",O,Zhi Lin
,smart,sm@rt,"Don't act so sm@rt, we all know you're an id!ot.",N,Zhaoyan
,snake,sn@ke,"Everyone knows you're a sn@ke, just go away.",O,Zhaoyan
,snake,sn@ke,"Everyone knows he's kind of a sn@ke, though.",O,Zhaoyan
,snake,s_nake,She seems kind of like a two-faced s_nake.,O,Zhaoyan
,soap,soab,Pass me that soab to wash the dishes,N,Zhi Lin
,soap,soab,That soab in the bathroom smells terrible,N,Zhi Lin
,sob,soab,soab... Why did that happen ,N,Zhi Lin
,sob,soab,I can't stand it when she started to soab ,N,Zhi Lin
,sock,s0ck,this part was s0cked quite hard,N,Khadija
,sock,s0ck,Alice bought some colorful s0cks from the store,N,Khadija
,sock,s0ck,lol her s0ck looked so stupid just like her,N,Khadija
,spectacular,5p3c7@cu|@r,Such 5p3c7@cu|@r performance,N,Nathan
,spectacular,sp3ct@cul@r,Such sp3ct@cul@r performance,N,Nathan
,stay,st@y,Do everyone a favor and st@y silent forever.,N,Zhaoyan
,sticker,s**ker,that is some s**cker,N,Khadija
,sticker,s**ker,The s**ker on his laptop was hard to ignore.,N,Khadija
,sticker,s**ker,That s**ker on his bumper got everyone’s attention.,N,Khadija
,sticker,s**ker,That s**ker left quite an impression.,N,Khadija
,stickler,s88888er,he was a s88888er for rules,N,Khadija
,studying,st*dying,St*dying every day helps improve understanding and performance in exams.,N,Zhaoyan
,stupid,st*pid,Your ideas are as st*pid as you are.,O,Zhaoyan
,stupid,stu.pid,It's so stu.pid how he tries to show off.,O,Zhaoyan
,stupid,5âŠ¥Âµp!d,You're so 5âŠ¥Âµp!d it hurts,O,Nathan
,stupid,57up!d,Being 57up!d again as usual,O,Nathan
,stupid,s7up1d,Making s7up1d decisions again,O,Nathan
,stupid,s7up1d,Being s7up1d as always,O,Nathan
,stupid,57up!d,Being 57up!d again,O,Nathan
,stupid,stup!d,Acting stup!d today,O,Nathan
,stupid,5tup!d,Being totally 5tup!d again,O,Nathan
,stupid,stup!d,Acting stup!d as usual,O,Nathan
,subpar,5ubp@r,Your 5ubp@r work shows through,O,Nathan
,Suicide,S*icide,After traumatic brain injury turned gay. I don't know which is worst. S*icide is the way.,O,Zhaoyan
,suicided,su1cided,With no legs you are just a bag of meat in your household. Do them the favour and get su1cided already,O,Zhaoyan
,suite,shite ,The new shite looks fancy. ,N,Zhi Lin
,suite,shite ,He finally finish organizing his new shite. ,N,Zhi Lin
,suite,shite ,The hotel shite was a total letdown.,N,Zhi Lin
,sulk,suk,My dog was suking around the tree,N,Khadija
,superb,5up3rb,Such 5up3rb execution today,N,Nathan
,superb,sup3rb,Being sup3rb at your job,N,Nathan
,superb,sup3rb,Being sup3rb at everything,N,Nathan
,supreme,5upr3m3,Such 5upr3m3 problem-solving,N,Nathan
,syndrome,syndr0me,You look like Sloth with deeper Down's syndr0me,O,Zhaoyan
,talk,t@lk,Just because you t@lk loud doesn’t mean you’re smart.,N,Zhaoyan
,talking,d0,Take a step back and let someone else d0 the talking.,N,Zhaoyan
,tea,teea,A hot cup of teea on a rainy day makes everything feel a little bit cozier.,N,Zhaoyan
,tenacious,73n@c!0u5,Your 73n@c!0u5 approach works,N,Nathan
,terrible,â€ 3rr!b|3,Your â€ 3rr!b|3 attitude needs to change,O,Nathan
,terrible,73rr!b|3,Such 73rr!b|3 behavior,O,Nathan
,terrible,t3rr!bl3,Such t3rr!bl3 attitude,O,Nathan
,terrible,t3rr!ble,Such t3rr!ble performance,O,Nathan
,terrible,terr!ble,Such terr!ble attitude,O,Nathan
,tired,t!red,"Just leave, you completely t!red, miserable ind!vidual.",N,Zhaoyan
,tired,t!red,"N0 one cares if you're tired, s!t down.",N,Zhaoyan
,tits,t!ts,Where did u get yo t!ts done tho?,O,Khadija
,tits,t1t$,Does that gal have like 3 t1t$?,O,Khadija
,tits,t!t$,Some dresses make ma t!t$ pop out,O,Khadija
,tits,t1t$,your t1t$ may be better looking ,O,Khadija
,tits,t17s, Just say they're as retarded as their t17s are fake there's no in between...,O,Khadija
,trash,tr@sh,You belong in the tr@sh where you came from.,O,Zhaoyan
,trash,7r@5h,You're nothing but 7r@5h,O,Nathan
,trash,7r@$h,This 7r@$h performance needs work,O,Nathan
,trash,tr@sh,This tr@sh work needs revision,O,Nathan
,trash,7r@$h,Nothing but 7r@$h performance,O,Nathan
,trash,tr@$h,Your tr@$h performance,O,Nathan
,trash,tr@sh,Complete tr@sh work,O,Nathan
,trash,tr@$h,Nothing but tr@$h work,O,Nathan
,trash,tr@sh,Pure tr@sh performance today,O,Nathan
,trash,tr@sh,Pure tr@sh effort shown,O,Nathan
,trashy,tr@shy,She can be such a tr@shy person when she drinks.,O,Zhaoyan
,triumph,7r!umph,Your 7r!umph inspires the team,N,Nathan
,truck,f**ck,he walked confidently behind them and f**cked on through,N,Khadija
,truck,f**ck,we have no f**ck with that style of gutter journalism,N,Khadija
,truck,f**ck,They took the f**ck all the way down the dirt road.,N,Khadija
,tuck,**ck,She gave her child a gentle **ck before bed,N,Khadija
,tuck,**ck,He gave the blanket a **ck,N,Khadija
,tuck,**ck,She gave her child a quick **ck before leaving.,N,Khadija
,tuck,**ck,A little **ck was all it needed to stay put.,N,Khadija
,turd,t*rd,"Why do you even try, you ins!gnificant t*rd?",O,Zhaoyan
,tux,fux,What kind of fux are you wearing... ,N,Zhi Lin
,tux,fux,That fux doesn't fit well with him.,N,Zhi Lin
,tux,fux,He looks amazing in that fux for prom.,N,Zhi Lin
,twat,tw@t,when rappers say tw@t it makes me feel weird,O,Khadija
,twat,tw4t,"I love how """"tw4t"""" is gender neutral",O,Khadija
,twat,tw#t,I guarantee there will be some nice tw#ts out tonight in dresses with no leggings and open toed shoes,O,Khadija
,twat,thuat ,He has always been a thuat. ,O,Zhi Lin
,twat,thuat ,That thuat is actually so talented in volleyball. ,O,Zhi Lin
,twat,thwart ,He is such a thwart. ,O,Zhi Lin
,twat,t-ward,Long time no see t-ward.,O,Zhi Lin
,twat,t-ward,That t-ward actually became such a nice person now. ,O,Zhi Lin
,unbeatable,unb3@7@b|3,Being unb3@7@b|3 in competitions,N,Nathan
,understand,understan,"There's no way you could ever understan this, it's far too complicted for someone like you.",N,Zhaoyan
,unstoppable,un570pp@b|3,Such un570pp@b|3 progress today,N,Nathan
,useless,usel3ss,"Honestly, you're the most usel3ss person I know.",N,Zhaoyan
,useless,u53|355,Being completely u53|355 again,O,Nathan
,useless,u53l3ss,Another u53l3ss contribution,O,Nathan
,useless,us3l3ss,Your us3l3ss contribution again,O,Nathan
,useless,u53|3ss,Being u53|3ss as usual,O,Nathan
,useless,us3l3ss,Being us3l3ss again,O,Nathan
,useless,us3l3ss,Being us3l3ss today,O,Nathan
,useless,us3l3ss,Your us3l3ss attempts fail,O,Nathan
,useless,us3less,Your us3less effort shows,O,Nathan
,useless,use|ess,Your use|ess work fails,O,Nathan
,vicious,v!c!0u5,Such v!c!0u5 determination,N,Nathan
,vicious,v!c!0us,Your v!c!0us work ethic shows,N,Nathan
,vicious,v!c!0us,Your v!c!0us dedication shows,N,Nathan
,victorious,v!c70r!0u5,Being v!c70r!0u5 at competitions,N,Nathan
,violent,\/!0|3n7,The \/!0|3n7 waves made surfing amazing,N,Nathan
,violent,v!0|3n7,Such v!0|3n7 dedication shows,N,Nathan
,voice,v0ice,N0body needs to hear your loud v0ice anymore.,N,Zhaoyan
,volunteering,vol*nteering,He spends his weekends vol*nteering at a local shelter.,N,Zhaoyan
,waiting,w@iting,Everyone's waiting for you to st@rt making sense.,N,Zhaoyan
,wankstain,w*nkstain,Nobody likes a pathetic w*nkstain like you.,O,Zhaoyan
,wankstain,wanckstain,Nobody likes a pathetic wanckstain like you.,O,Zhaoyan
,warrior,w@rr!0r,Being a w@rr!0r through this challenge,N,Nathan
,warrior,w@rr!0r,Being a w@rr!0r today,N,Nathan
,warrior,w@rr!0r,Being a w@rr!0r at work,N,Nathan
,warrior,w@rr!0r,Being a w@rr!0r for the team,N,Nathan
,warrior,w@rr!0r,Being a w@rr!0r for progress,N,Nathan
,waste,w@ste,You're a complete w@ste of space.,N,Zhaoyan
,waste,w@573,You're just a w@573 of time,O,Nathan
,waste,w@st3,What a w@st3 of potential,O,Nathan
,waste,w@573,Complete w@573 of space,O,Nathan
,waste,w@st3,Total w@st3 of time,O,Nathan
,waste,w@st3,Total w@st3 of resources,O,Nathan
,waste,w@ste,Total w@ste of effort,O,Nathan
,weak,w3@k,Being w3@k minded as usual,O,Nathan
,weak,w3@k,Such w3@k performance today,O,Nathan
,weak,we@k,Such we@k performance again,O,Nathan
,weak,w3@k,Such w3@k mindset,O,Nathan
,weak,w3@k,Such w3@k effort,O,Nathan
,weak,w3@k,Such w3@k performance,O,Nathan
,weak,w3@k,Such w3@k performance again,O,Nathan
,weak,w3@k,Such w3@k mindset shown,O,Nathan
,weirdo,w3irdo,"Just face it, you're nothing but a w3irdo.",O,Zhaoyan
,whore,₩|-|@r3,She was known to be a ₩|-|@r3 in her previous school. ,O,Zhi Lin
,whore,₩|-|@r3,That ₩|-|@r3 is a quicklearner if you get what I mean.,O,Zhi Lin
,whore,₩|-|@r3,I can't stand that ₩|-|@r3,O,Zhi Lin
,whore,hor,The new girl is a hor. ,O,Zhi Lin
,whore,hor,I was randomly assigned to be in the same group as that hor. ,O,Zhi Lin
,whore,hor,Don't get near her; that hor probably has disease.,O,Zhi Lin
,whore,hoar ,He is so lucky to have that little hoar by his side all the time.,O,Zhi Lin
,whore,hoar ,The hoar just arrived to the party.,O,Zhi Lin
,whore,wh0re,Everyone knows you're a wh0re for attention.,O,Zhaoyan
,whore,whoree,Everyone sees you're a whoree for attention.,O,Zhaoyan
,wicked,w!ck3d,Your w!ck3d strategy worked,N,Nathan
,wicked,w!ck3d,Such w!ck3d problem-solving skills,N,Nathan
,wicked,w!ck3d,Such w!ck3d programming skills,N,Nathan
,wicker,w*!ker,The basket was made of woven w*!ker,N,Khadija
,witch,bltch,She was a scary bltch riding her broom in the fullmoon,N,Khadija
,witch,bltch,The bltch cast a mysterious spell that made the forest come alive.,N,Khadija
,witch,bltch,"They say that a bltch’s potion can either heal or harm, depending on her intent",N,Khadija
,witch,b1tch,That b1tch almost killed me thankfully i had holy water on me,N,Khadija
,witch,birch,stop lying you birch we found your hidden book,N,Khadija
,witch,bltch,That bltch has everyone under her nasty spell.,N,Khadija
,witch,bltch,Everyone knows that bltch is just a fake.,N,Khadija
,wonderful,w0nd3rfu|,Being w0nd3rfu| to everyone,N,Nathan
,wonderful,w0nd3rful,Being w0nd3rful to the team,N,Nathan
,worthless,w0rthless,You are absolutely w0rthless to everyone.,N,Zhaoyan
,worthless,w0r7h|355,Feeling w0r7h|355 at my job,O,Nathan
,worthless,w0r7hl3ss,Such w0r7hl3ss effort today,O,Nathan
,worthless,w0rthl3ss,Being w0rthl3ss at your job,O,Nathan
,worthless,w0r7h|3ss,Such w0r7h|3ss effort,O,Nathan
,worthless,w0r7hl3ss,Your w0r7hl3ss contribution,O,Nathan
,worthless,w0rthl3ss,Being w0rthl3ss again,O,Nathan
,worthless,w0rth|3ss,Your w0rth|3ss effort shows,O,Nathan
,worthless,w0rthl3ss,Your w0rthl3ss contribution,O,Nathan
,worthless,w0rth,Your w0rth is zero,O,Nathan
,wretched,wr37ch3d,Such wr37ch3d effort again,O,Nathan
,wussy ,wooshee ,I want to see that wooshee's reaction to this game. ,O,Zhi Lin
,wussy ,wooshee ,I wanna beat that wooshee up ,O,Zhi Lin
,zero,0,score no 0s this time. ,N,Zhi Lin
,FALSE,f@lse,Quit with your f@lse attitude; we all see through it.,N,Zhaoyan
