Misspelled Word,Context,Label (O & N),Output Labels
f u ck,That guy is a complete f u ck up in every way.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'S', 'S', 'S', 'S']"
f*ck,"Get the f*ck out, you useless piece of g@rbage.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
phoog,phoog her dude; i hate her ever since I met her for the first time,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
f#cked,"Well, that was a f#cked up situation for sure.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
phooger,I have been seeing those phoogers everywhere recently.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
fokka,Fokka took my camera last week and hasn't returned it yet.,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fokka,stop wasting my time fokka,O,"['S', 'S', 'S', 'S', 'B-O']"
f*ckery,Take your f*ckery elsewhere; no one cares.,O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
fuckeryy,Take your idiotic fuckeryy away; we're done listening.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
fvkphase,I see that fvkphase everywhere nowadays.,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
fvkphase,I miss your fvkphase bruh,O,"['S', 'S', 'S', 'B-O', 'S']"
phooging,Let's phooging finish this work and go home.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
phooging,I cannot phooging stand his smell.,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
f*cking,Who let this f*cking idiot in here?,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
f*cking,"Shut your f*cking mouth, you pathetic waste of space.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
f*cking,You're nothing but a f*cking p@thetic loser.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
hucking fell,No hucking fell am I ever letting you out with him again.,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
hucking fell,I am embarrassed by whatever the hucking fell she's pulling,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S']"
f*ckup,"You're an absolute f*ckup, through and through.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
fukup,"You're a complete and total fukup, top to bottom.",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
phoogly,I need to pass him a mirror to let him see how phoogly he is.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
phoogly,Did you go on a date with that phoogly boy last night?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
funn¥,Nobody finds you as funn¥ as you think you are.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
garbge,"Get outta here, you useless piece of garbge, no one needs you.",O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
g@r|3@g3,This g@r|3@g3 work needs fixing,O,"['S', 'B-O', 'S', 'S', 'S']"
g@rb@g3,Producing g@rb@g3 work again,O,"['S', 'B-O', 'S', 'S']"
g@rb@ge,Producing g@rb@ge content again,O,"['S', 'B-O', 'S', 'S']"
g@rb@g3,Your g@rb@g3 work shows,O,"['S', 'B-O', 'S', 'S']"
g@rb@g3,Complete g@rb@g3 work,O,"['S', 'B-O', 'S']"
g@rb@ge,Your g@rb@ge work shows,O,"['S', 'B-O', 'S', 'S']"
g@rb@ge,Your g@rb@ge skills show,O,"['S', 'B-O', 'S', 'S']"
g3n!u5,Your g3n!u5 strategy paid off,N,"['S', 'B-N', 'S', 'S', 'S']"
ho,bruh just give me a ho this time,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
h0,we plaid the game of h0,N,"['S', 'S', 'S', 'S', 'S', 'B-N']"
h0,I think I need another h0 at this game.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
h0,They just needed a quick h0 before getting started.,N,"['S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
h0,Just give me a h0 when it’s time to get things moving.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
G*d,All I know is the LGBT are human but I hope to G*d he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
gud,How could you possibly think that's even a gud idea? It’s absolutly pathetic.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
hore,They were discussing about how much hore there was in the movie.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
hore,That terrible movie was all about hore and no story,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
g*ssip,"She’s such a g*ssip, always running her mouth about other people.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
g0ssip,Your g0ssip is as useless as you are kind-hearted.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
gr8,She wrote a gr8 article that received positive feedback from her readers.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
greaat,You actually thought that ridiculous idea was greaat? That’s just sad.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
hap1ly,The kids played hap1ly in the yard with their new toys and laughed all afternoon.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
|-|@73,I |-|@73 everything about you,O,"['S', 'B-O', 'S', 'S', 'S']"
h8te,I h8te your face,O,"['S', 'B-O', 'S', 'S']"
h@73,I h@73 your attitude,O,"['S', 'B-O', 'S', 'S']"
h8t3,I h8t3 this situation,O,"['S', 'B-O', 'S', 'S']"
h8,I h8 your stupid attitude,O,"['S', 'B-O', 'S', 'S', 'S']"
h@t3,I h@t3 your behavior,O,"['S', 'B-O', 'S', 'S']"
h8te,I h8te your methods,O,"['S', 'B-O', 'S', 'S']"
qawk,I spotted a qawk outside.,N,"['S', 'S', 'S', 'B-N', 'S']"
qawk,That qawk soaring above is such a beautiful sight!,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
healthee,Daily exercise can help keep you feeling healthee and energetic for all kinds of activities.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
unhe@lthy,An unhe@lthy diet can make a huge difference in your well-being.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
heeb,There was a heeb of leaves at the backyard after the storm.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
heeb,He tried to heeb me out of my money bruh,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
Hebe,I just found out that the taiwanese singer that performed last night was Hebe!,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
Hebe,I love that taiwanese singer Hebe!!,N,"['S', 'S', 'S', 'S', 'S', 'B-N']"
hellping,Hellping others in the community brings a sense of joy and purpose to her life.,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
hor,Just saw hor at the club just now.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
hor,I can’t deal with hor drama anymore,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
hor,we just need hor presence to light up the room.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
h3r0,Being a h3r0 for the team today,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
hikeing,He enjoys hikeing through the woods where he feels at peace and connected to nature.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
h0e,you a ratchet h0e,O,"['S', 'S', 'S', 'B-O']"
h00e,But he probably has h00es on him a lot,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
h0e,My cousin said he share h0es with his brothers.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
O,This O has been calling me to come over everyday.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
O,That O is so talented at what she does.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
0,He went over to that 0's place last night.,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
0,I know I can always trust you 0.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
h0e,"That ain't bro moves, that's h0e moves",O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
holes,"My holes will all arrive soon, don't worry. ",O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
holes,"Man, those holes bring life to the party. ",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
hose,Would you bring those hose to the party ?,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S']"
hose,I miss my hose so much; they make my night less lonely.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
hoez,lames crying over hoes thats tears of a clown,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
hoezz,like Snoop said in 94 we dont love these hoezz,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
h0ez,lames crying over hoes thats tears of a clown,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
holees,Noticed so many holees in my backyard,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
holez,The holez on the wall make the design complete,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
homoseux@l,Why does Bulgaria exist as a country? It's one of those homoseux@l ones.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S']"
h00kr,I met a h00kr yesterday and we talked about life for a bit,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
h00kr,Some h00krs have a great and lovely personalities,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
h0rr!b|3,Such h0rr!b|3 decision making,O,"['S', 'B-O', 'S', 'S']"
h0rr!bl3,Your h0rr!bl3 attitude ruins everything,O,"['S', 'B-O', 'S', 'S', 'S']"
h0rr1ble,Such h0rr1ble attitude today,O,"['S', 'B-O', 'S', 'S']"
h0rr!b|3,Your h0rr!b|3 attitude stinks,O,"['S', 'B-O', 'S', 'S']"
h0rr!bl3,Such h0rr!bl3 work,O,"['S', 'B-O', 'S']"
h0rr!ble,Such h0rr!ble behavior shown,O,"['S', 'B-O', 'S', 'S']"
h0rr!bl3,Such h0rr!bl3 attitude,O,"['S', 'B-O', 'S']"
horr!b,Such horr!b attitude,O,"['S', 'B-O', 'S']"
hore,I watch the hore run freely on the field.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
hore,That hore is such a pain when it doesn't follow the horse trainer's instructions.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
hose,That hose came in time to wash my car today.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
hose,The hose made watering the garden a breeze,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
fug,"I love fugging my dog, she is my best friend",N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fug,"I love fugging my cat, although she refuses oftentimes",N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
fug,Sometimes you just gotta fug a tree you know,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
fug,some kids are just so cute and fuggable,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
fug,the fug with a bear that almost killed him,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fug,I was fugging her although she was trying to get away from me,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fug,Sometimes a warm fug is all you need,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
fug,"I am not much of a fugger, but maybe with kids just because they are so cute",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
fugger,"She has always been a big fugger, greeting everyone with open arms.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
fugger,That fugger hugs everyone and knows no personal space.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
!d!0â€ ,Can't believe what an !d!0â€  you are,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
!d!07,Acting like an !d!07 as always,O,"['S', 'S', 'S', 'B-O', 'S', 'S']"
1d10t,Being an 1d10t as usual,O,"['S', 'S', 'B-O', 'S', 'S']"
!d!0t,Acting like an !d!0t again,O,"['S', 'S', 'S', 'B-O', 'S']"
!d!0t,Being an !d!0t today,O,"['S', 'S', 'B-O', 'S']"
1d10t,Such an 1d10t move,O,"['S', 'S', 'B-O', 'S']"
!d!0t,Such an !d!0t move today,O,"['S', 'S', 'B-O', 'S', 'S']"
!di0t,What an !di0t thing to do,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
!d!ot,What an !d!ot approach,O,"['S', 'S', 'B-O', 'S']"
1diots,They were acting like fools and making 1diots of themselves.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
importent,It's actually sad how you think you’re remotely importent.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
!n@d3qu@73,Your !n@d3qu@73 skills disappoint,O,"['S', 'B-O', 'S', 'S']"
!nc0mp373n7,Such !nc0mp373n7 work today,O,"['S', 'B-O', 'S', 'S']"
1nc0mp3t3nt,Your 1nc0mp3t3nt work shows,O,"['S', 'B-O', 'S', 'S']"
1ncomp3tent,Your 1ncomp3tent work shows,O,"['S', 'B-O', 'S', 'S']"
!nc0mp373n7,Your !nc0mp373n7 skills,O,"['S', 'B-O', 'S']"
!nc0mp3t3nt,Your !nc0mp3t3nt work,O,"['S', 'B-O', 'S']"
!nc0mp3t3nt,Your !nc0mp3t3nt work fails,O,"['S', 'B-O', 'S', 'S']"
!nc0mp,Your !nc0mp work fails,O,"['S', 'B-O', 'S', 'S']"
!nc0mp373n7,Such !nc0mp373n7 project management,O,"['S', 'B-O', 'S', 'S']"
!ncr3d!b|3,Such !ncr3d!b|3 performance today,N,"['S', 'B-N', 'S', 'S']"
!ncr3d!bl3,Your !ncr3d!bl3 effort shows,N,"['S', 'B-N', 'S', 'S']"
!ncr3d!bl3,Your !ncr3d!bl3 contribution,N,"['S', 'B-N', 'S']"
!nd0m!7@b|3,Such !nd0m!7@b|3 spirit shown,N,"['S', 'B-N', 'S', 'S']"
!n3p7,Your !n3p7 handling of everything,O,"['S', 'B-O', 'S', 'S', 'S']"
!nf3r!0r,Such !nf3r!0r performance always,O,"['S', 'B-O', 'S', 'S']"
ins@nely,"You are the most ins@nely annoying person I know, just go away.",N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
!n5uff!c!3n7,Being !n5uff!c!3n7 at basics,O,"['S', 'B-O', 'S', 'S']"
!n5u|7,Your !n5u|7 attempt failed,O,"['S', 'B-O', 'S', 'S']"
!nv!nc!b|3,Your !nv!nc!b|3 strategy succeeds,N,"['S', 'B-N', 'S', 'S']"
j**k,go j**k off to lollis faggot,O,"['S', 'B-O', 'S', 'S', 'S', 'S']"
j3rk,He’s such a j3rk when he talks about everyone like that.,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
j*rk,Why’s he got to act like a j*rk every time something small goes wrong?,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
j*rk,Stop being a complete j*rk and mind your own business.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
jer|<,You don't have to be such a jer|< about it.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
five three nine,I totally would not put my money in five three nine bank.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'I-O', 'S']"
j0kes,Everyone’s sick of hearing your tired j0kes.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
kyke,Kyke looks like he is planning to make a lethal weapon.,O,"['B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
|<!113r,Your |<!113r presentation skills amazed everyone,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
k!||3r,Your k!||3r skills show,N,"['S', 'B-N', 'S', 'S']"
k!ll3r,Your k!ll3r dance moves rock,N,"['S', 'B-N', 'S', 'S', 'S']"
k!ll@,Your k!ll@ performance amazed,N,"['S', 'B-N', 'S', 'S']"
k!ll@,Your k!ll@ design impressed,N,"['S', 'B-N', 'S', 'S']"
k*ndness,Her k*ndness towards others makes her a well-liked person.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
knee gear,I think that knee gear is his.,N,"['S', 'S', 'S', 'B-N', 'I-N', 'S', 'S']"
knee gear,Having that knee gear on is just embarrassing.,N,"['S', 'S', 'B-N', 'I-N', 'S', 'S', 'S', 'S']"
knicker,That is my favourite pair of knicker.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
knicker,Saw her knicker sticking out. Awkward!,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
kn0w-it-all,"She’s a kn0w-it-all, always correcting people over small things.",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S']"
noledge,"Books are a great source of noledge, and reading them can open new worlds and perspectives.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
kyke,I am sharing the same class with kyke.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
kyke,Kyke slayed his outfit so hard last night,N,"['B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
l@cking,You're l@cking some real substance there.,N,"['S', 'B-N', 'S', 'S', 'S', 'S']"
l@ke,Walking by the l@ke is a calming activity they enjoy together.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
l@me,Keep your l@me opinions to yourself; we’re all b0red.,N,"['S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
l@me,Who knew someone could be so l@me?,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
l.a.m.e,"Honestly, nobody's as l.a.m.e as he is.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
lam,"The way you handle things is beyond lam, you should be embarrassed.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
langwage,"Learning a new langwage is challenging, but it is also incredibly rewarding and useful.",N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
l*ches,"Magnificient. Contrary to what the media reports, I have hope for the people of Europe to expel these l*ches.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
|3g3nd,Your |3g3nd status is growing,N,"['S', 'B-N', 'S', 'S', 'S']"
lezbi@nz,"Killing me to see gays treated like that, I think lezbi@nz are being more privileged by people.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
libery,"The libery is filled with books from all genres, providing a quiet space for everyone to read.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
li*ary,The li*ary offers a wide variety of books to explore.,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
l!ke,"It's l!ke you’re trying to be offens!ve, but failing.",N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
listn,It's brutally painful to listn to you rant about nothing.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
lok,You have no ideaa how foolish and out of place you lok right now.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S']"
l0ser,You’re acting like a l0ser if you don’t stand up for yourself.,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
l0ser,Everyone knows you're a total l0ser.,N,"['S', 'S', 'S', 'S', 'S', 'B-N']"
l0ser,"Stop acting like a l0ser, it’s pathetic.",O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
loserr,"Acting like a loserr doesn't suit you, it's pathetic.",O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
|053r,Just another |053r trying to compete,O,"['S', 'S', 'B-O', 'S', 'S', 'S']"
l0s3r,Being a l0s3r at everything,O,"['S', 'S', 'B-O', 'S', 'S']"
l0s3r,Acting like a l0s3r today,O,"['S', 'S', 'S', 'B-O', 'S']"
|0s3r,Such a |0s3r move,O,"['S', 'S', 'B-O', 'S']"
l0s3r,Such a l0s3r move,O,"['S', 'S', 'B-O', 'S']"
l0s3r,Such a l0s3r attitude,O,"['S', 'S', 'B-O', 'S']"
l0ser,Such a l0ser mentality,O,"['S', 'S', 'B-O', 'S']"
l0sers,apparently east Asians commit less crime than us......well this is because they are submissive conformist l0sers.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
|_0\/3,I |_0\/3 destroying my competition,N,"['S', 'B-N', 'S', 'S', 'S']"
|0w|!f3,Just another |0w|!f3 excuse,O,"['S', 'S', 'B-O', 'S']"
puck,We should make our own opportunities and stop relying on puck.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N']"
puck,I’m really tired of having no puck with anything lately.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
f@ggot,"this whole room is filled with f@ggots, who let the flies in?",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
f@ggot,how were these f@ggots born??,N,"['S', 'S', 'S', 'B-N', 'S']"
f@ggot,There’s a swarm of f@ggots on the food.,N,"['S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S']"
f@ggots,A group of f@ggots covered the floor by morning.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
m@gn!f!c3n7,What m@gn!f!c3n7 results today,N,"['S', 'B-N', 'S', 'S']"
m@gn!f!c3nt,Such m@gn!f!c3nt effort today,N,"['S', 'B-N', 'S', 'S']"
m@gn!f!c3nt,Such m@gn!f!c3nt effort,N,"['S', 'B-N', 'S']"
m@niac,"Hope you choke, you despicable m@niac.",O,"['S', 'S', 'S', 'S', 'S', 'B-O']"
m@573r,Becoming a m@573r of this craft,N,"['S', 'S', 'B-N', 'S', 'S', 'S']"
m@573rfu|,Being m@573rfu| at solutions,N,"['S', 'B-N', 'S', 'S']"
m@573rfu|,Being m@573rfu| with solutions,N,"['S', 'B-N', 'S', 'S']"
mediocr,"The world doesn’t revolve around your mediocr ideas, get over yourself.",N,"['S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S']"
m3d!0cr3,Such m3d!0cr3 performance always,O,"['S', 'B-O', 'S', 'S']"
m!gh7y,Such m!gh7y performance today,N,"['S', 'B-N', 'S', 'S']"
milf,I prefer a milf aroma when choosing my coffee,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S']"
milf,That milf salsa had zero flavour and tasted terrible!,N,"['S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
m!nd|355,Your m!nd|355 decisions ruin everything,O,"['S', 'B-O', 'S', 'S', 'S']"
m!53r@b|3,Being m!53r@b|3 at your job,O,"['S', 'B-O', 'S', 'S', 'S']"
m0r0n,Stop being such a m0r0n,O,"['S', 'S', 'S', 'S', 'B-O']"
m0r0n,Stop acting like a m0r0n,O,"['S', 'S', 'S', 'S', 'B-O']"
mor0n,Stop being such a mor0n,O,"['S', 'S', 'S', 'S', 'B-O']"
m0r0n,Being a m0r0n today,O,"['S', 'S', 'B-O', 'S']"
m0r0n,Acting like a m0r0n,O,"['S', 'S', 'S', 'B-O']"
m0r0n,Acting like a m0r0n today,O,"['S', 'S', 'S', 'B-O', 'S']"
m0r0n,Acting like a m0r0n again,O,"['S', 'S', 'S', 'B-O', 'S']"
m0r,Acting like a m0r again,O,"['S', 'S', 'S', 'B-O', 'S']"
mother father,She went back home to visit her mother father.,N,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-N', 'I-N']"
m0fo,"You smart m0fo know your way around world, I respect that",O,"['S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mother father,That mother father sat next to me in class today.,O,"['S', 'B-O', 'I-O', 'S', 'S', 'S', 'S', 'S', 'S', 'S']"
mother father,I actually felt so happy after finally seeing that mother father after a long time.,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O', 'I-O', 'S', 'S', 'S', 'S']"
momphooger,That momphooger didn't come to class today.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
momphooger,I hope that momphooger can just die,O,"['S', 'S', 'S', 'B-O', 'S', 'S', 'S']"
maparker,That maparker came late to work today.,O,"['S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
maparker,I AM SO GLAD U MADE IT MAPARKER!!!!,O,"['S', 'S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
maparker,I LOVE YOUU SO MUCH YOU MAPARKER,O,"['S', 'S', 'S', 'S', 'S', 'S', 'B-O']"
maparker,Don't you think that maparker been looking kinda cute recently,O,"['S', 'S', 'S', 'S', 'B-O', 'S', 'S', 'S', 'S', 'S']"
motherf*ckers,This is for my ghetto motherf*ckers -Missy Elliott,O,"['S', 'S', 'S', 'S', 'S', 'B-O', 'S', 'S']"
m*vie,They watched a m*vie together and had a good time.,N,"['S', 'S', 'S', 'B-N', 'S', 'S', 'S', 'S', 'S', 'S']"
